idx,year,race,location,type_simple,DemPredFinal,RepPredFinal,DemShareAct,RepShareAct
348,2010,2010_Sen-G_LA,LA,Sen-G,0.4228222313464652,0.5771777686535348,0.3998089577584377,0.6001910422415623
349,2010,2010_Sen-G_MD,MD,Sen-G,0.6474686626780732,0.3525313373219267,0.634980600367572,0.365019399632428
350,2010,2010_Sen-G_MO,MO,Sen-G,0.4470165412885117,0.5529834587114884,0.42831541218638,0.5716845878136201
351,2010,2010_Sen-G_NC,NC,Sen-G,0.43325967615970146,0.5667403238402985,0.4399141630901287,0.5600858369098712
352,2010,2010_Sen-G_ND,ND,Sen-G,0.25773195876288657,0.7422680412371134,0.22564885496183207,0.7743511450381679
353,2010,2010_Sen-G_NH,NH,Sen-G,0.41042028816878257,0.5895797118312174,0.3801115241635688,0.6198884758364313
354,2010,2010_Sen-G_NV,NV,Sen-G,0.4787764636631201,0.5212235363368798,0.530261493040911,0.4697385069590889
355,2010,2010_Sen-G_NY,NY,Sen-G,0.6517267785833452,0.3482732214166549,0.6731296315094915,0.3268703684905086
356,2010,2010_Sen-G_OH,OH,Sen-G,0.4063649132522346,0.5936350867477654,0.40935064935064935,0.5906493506493506
357,2010,2010_Sen-G_OR,OR,Sen-G,0.5923940476171781,0.407605952382822,0.5931377630351404,0.40686223696485957
358,2010,2010_Sen-G_PA,PA,Sen-G,0.47455468098930315,0.5254453190106969,0.4899,0.5101
359,2010,2010_Sen-G_SC,SC,Sen-G,0.26582278481012656,0.7341772151898734,0.3102210254684169,0.6897789745315831
360,2010,2010_Sen-G_UT,UT,Sen-G,0.3624765449567812,0.6375234550432188,0.3473974345383229,0.652602565461677
361,2010,2010_Sen-G_VT,VT,Sen-G,0.6966292134831461,0.30337078651685395,0.6754514909701806,0.3245485090298194
362,2010,2010_Sen-G_WA,WA,Sen-G,0.4985766151867945,0.5014233848132055,0.5236,0.4764
363,2010,2010_Sen-G_WI,WI,Sen-G,0.45290986649598947,0.5470901335040106,0.4755258899676376,0.5244741100323624
364,2010,2010_Sen-G_WV,WV,Sen-G,0.511278305810027,0.488721694189973,0.5519768762258697,0.4480231237741302
365,2010,2010_Sen-GS_MA,MA,Sen-G,0.4742118940475001,0.5257881059524999,0.47575757575757577,0.5242424242424242
366,2010,2010_Sen-GS_NY,NY,Sen-G,0.6183101399823693,0.38168986001763067,0.6419828641370869,0.3580171358629131
367,2011,2011_Gov-G_KY,KY,Gov-G,0.6597202416375662,0.34027975836243385,0.6122404131414131,0.387759586858587
368,2011,2011_Gov-G_MS,MS,Gov-G,0.42553191489361697,0.574468085106383,0.3898,0.6102000000000001
369,2011,2011_Gov-GS_WV,WV,Gov-G,0.510457924545753,0.48954207545424694,0.5129399585921325,0.4870600414078675
370,2012,2012_Gov-G_IN,IN,Gov-G,0.45293144960330767,0.5470685503966924,0.4846434148880791,0.5153565851119208
371,2012,2012_Gov-G_MO,MO,Gov-G,0.5438302641069589,0.4561697358930411,0.5628982528263103,0.4371017471736896
372,2012,2012_Gov-G_MT,MT,Gov-G,0.500879393875639,0.499120606124361,0.5081047381546134,0.4918952618453865
373,2012,2012_Gov-G_NC,NC,Gov-G,0.4458994761324539,0.554100523867546,0.4417986714358712,0.5582013285641287
374,2012,2012_Gov-G_ND,ND,Gov-G,0.3468520829338188,0.6531479170661811,0.3522225644184376,0.6477774355815625
375,2012,2012_Gov-G_NH,NH,Gov-G,0.52361923935158206,0.47638076064841794,0.5622361783177185,0.4377638216822815
376,2012,2012_Gov-G_UT,UT,Gov-G,0.25806451612903225,0.7419354838709677,0.2873215959995833,0.7126784040004167
377,2012,2012_Gov-G_WA,WA,Gov-G,0.5095347354428101,0.4904652645571899,0.5154,0.48460000000000003
378,2012,2012_Gov-G_WI,WI,Gov-G,0.46375375000313745,0.5362462499968625,0.4658016495674915,0.5341983504325085
379,2012,2012_Sen-G_AZ,AZ,Sen-G,0.46995908082753274,0.5300409191724672,0.48416194671701274,0.5158380532829872
380,2012,2012_Sen-G_CA,CA,Sen-G,0.6003181870635372,0.39968181293646277,0.6252,0.37479999999999997
381,2012,2012_Sen-G_CT,CT,Sen-G,0.5267128500397249,0.4732871499602751,0.5600163448769027,0.43998365512309734
382,2012,2012_Sen-G_FL,FL,Sen-G,0.5426693787464365,0.45733062125356355,0.5666940283193105,0.4333059716806895
383,2012,2012_Sen-G_HI,HI,Sen-G,0.590435164371226,0.4095648356287741,0.626,0.374
384,2012,2012_Sen-G_IN,IN,Sen-G,0.5273357140533702,0.4726642859466298,0.5303720979539913,0.4696279020460087
385,2012,2012_Sen-G_MA,MA,Sen-G,0.5159244038331623,0.48407559616683765,0.5377764435104573,0.4622235564895426
386,2012,2012_Sen-G_MD,MD,Sen-G,0.637837721443208,0.36216227855679195,0.6801117725671242,0.3198882274328757
387,2012,2012_Sen-G_MI,MI,Sen-G,0.5635887371510871,0.43641126284891285,0.6075635461872287,0.3924364538127712
388,2012,2012_Sen-G_MN,MN,Sen-G,0.6688065789292075,0.3311934210707926,0.6811821219715957,0.31881787802840433
